Airline_Name,Max_Departure_Delay_Minutes
"Southwest Airlines Co.: WN",540
"Alaska Airlines Inc.: AS",603
"JetBlue Airways: B6",616
"Allegiant Air: G4",767
"Frontier Airlines Inc.: F9",901
"Mesa Airlines Inc.: YV",1030
"Hawaiian Airlines Inc.: HA",1031
"PSA Airlines Inc.: OH",1079
"Endeavor Air Inc.: 9E",1143
"Delta Air Lines Inc.: DL",1184
"Envoy Air: MQ",1222
"Republic Airline: YX",1270
"United Air Lines Inc.: UA",1363
"ExpressJet Airlines LLC: EV",1425
"Spirit Air Lines: NK",1476
"American Airlines Inc.: AA",1527
"SkyWest Airlines Inc.: OO",1822
