Airport_Name,Most_Frequent_Reason,Cancellation_Count
Abilene,Weather,2
Akron,Carrier,27
Albany,Weather,2
Albany,Carrier,9
Albuquerque,Weather,7
Allentown/Bethlehem/Easton,Carrier,13
Amarillo,Carrier,8
Anchorage,Carrier,9
Appleton,"National Air System",2
Arcata/Eureka,Weather,1
Asheville,Carrier,31
Ashland,Carrier,9
Aspen,Weather,1
Aspen,"National Air System",1
Atlanta,Carrier,104
"Atlantic City","National Air System",1
Augusta,Carrier,24
Austin,Carrier,32
Bakersfield,Weather,1
Baltimore,"National Air System",116
Bangor,Carrier,5
Barrow,Carrier,1
"Baton Rouge",Carrier,8
"Beaumont/Port Arthur","National Air System",1
Belleville,Carrier,2
Bellingham,Carrier,4
Bend/Redmond,Weather,1
Bethel,Carrier,2
Billings,Carrier,2
Birmingham,Carrier,55
Bismarck/Mandan,Carrier,2
Bismarck/Mandan,Weather,2
Bloomington/Normal,"National Air System",8
Boise,Carrier,5
Boston,Carrier,64
Bozeman,Weather,1
Branson,Carrier,1
"Bristol/Johnson City/Kingsport",Carrier,16
Brownsville,Carrier,2
Brunswick,"National Air System",1
Buffalo,"National Air System",22
Burbank,Carrier,27
Burlington,Carrier,15
CONCORD,Carrier,3
"Cape Girardeau","National Air System",1
Casper,Weather,1
"Cedar Rapids/Iowa City",Carrier,13
"Cedar Rapids/Iowa City","National Air System",13
Champaign/Urbana,"National Air System",9
Charleston,Carrier,39
Charleston/Dunbar,Carrier,20
Charlotte,Carrier,1222
Charlottesville,Carrier,17
Chattanooga,Carrier,17
Chicago,Weather,148
Chicago,"National Air System",500
Cincinnati,Carrier,75
Clarksburg/Fairmont,Weather,2
Cleveland,Carrier,60
"College Station/Bryan",Carrier,2
"Colorado Springs",Carrier,8
Columbia,Carrier,42
Columbia,"National Air System",2
Columbia,Carrier,2
Columbus,Carrier,42
Columbus,Weather,2
Columbus,Carrier,2
"Corpus Christi",Carrier,9
Dallas,Carrier,27
"Dallas/Fort Worth",Carrier,258
Dayton,Carrier,53
"Daytona Beach",Carrier,16
Denver,Weather,69
"Des Moines",Carrier,25
Detroit,Carrier,42
Dothan,Weather,1
Dubuque,"National Air System",7
Duluth,Weather,4
Durango,Carrier,5
Eagle,Carrier,1
"Eau Claire",Weather,1
"El Paso",Carrier,12
Eugene,Carrier,2
Evansville,Carrier,9
Fairbanks,Carrier,3
Fargo,Weather,5
Fayetteville,Carrier,24
Fayetteville,Carrier,18
Flint,"National Air System",8
"Fort Lauderdale",Carrier,32
"Fort Myers",Carrier,13
"Fort Smith","National Air System",2
"Fort Wayne",Carrier,8
Fresno,Carrier,5
Gainesville,Carrier,19
"Garden City",Weather,2
"Grand Forks",Carrier,1
"Grand Rapids","National Air System",18
"Green Bay","National Air System",9
"Greensboro/High Point",Carrier,51
Greenville,Carrier,18
Greer,Carrier,48
Gulfport/Biloxi,Carrier,10
Hancock/Houghton,Weather,2
"Harlingen/San Benito",Weather,3
Harrisburg,Carrier,17
Hartford,Carrier,30
Hattiesburg/Laurel,"National Air System",1
