FlightDate,Avg_Flights_Preceding_3_Days
2018-06-01,NULL
2018-06-02,20992.0000
2018-06-03,18901.0000
2018-06-04,19337.6667
2018-06-05,19343.0000
2018-06-06,20544.6667
2018-06-07,20692.0000
2018-06-08,20863.6667
2018-06-09,21311.3333
2018-06-10,20551.6667
2018-06-11,20380.0000
2018-06-12,20388.0000
2018-06-13,21384.3333
2018-06-14,21550.6667
2018-06-15,21534.3333
2018-06-16,21688.0000
2018-06-17,20676.0000
2018-06-18,20455.6667
2018-06-19,20455.3333
2018-06-20,21448.6667
2018-06-21,21627.6667
2018-06-22,21625.6667
2018-06-23,21767.0000
2018-06-24,20735.3333
2018-06-25,20491.0000
2018-06-26,20476.3333
2018-06-27,21456.3333
2018-06-28,21638.3333
2018-06-29,21640.0000
2018-06-30,21792.0000
FlightDate,20875.0000
